method,dataset,category,dataset_label,P@5,P@10,P@15,MRR
GMR+AKR,jodatime,Java,JodaTime,0.1067,0.1,0.0933,0.2695
FITSEA+AKR,jodatime,Java,JodaTime,0.14,0.1167,0.1,0.3583
FRAPT+AKR,jodatime,Java,JodaTime,0.1267,0.14,0.1489,0.3248
PLAN-DTML+AKR,jodatime,Java,JodaTime,0.5133,0.5033,0.4911,0.589
LAMIC+AKR,jodatime,Java,JodaTime,0.4933,0.46,0.4556,0.5868
GMR+AKR,math,Java,Math,0.44,0.3833,0.2911,0.719
FITSEA+AKR,math,Java,Math,0.46,0.3667,0.2911,0.7284
FRAPT+AKR,math,Java,Math,0.4533,0.39,0.3178,0.7111
PLAN-DTML+AKR,math,Java,Math,0.5667,0.46,0.34,0.8353
LAMIC+AKR,math,Java,Math,0.5133,0.36,0.2644,0.7222
GMR+AKR,official,Java,Col.Official,0.18,0.18,0.1844,0.3388
FITSEA+AKR,official,Java,Col.Official,0.3,0.2667,0.2422,0.4284
FRAPT+AKR,official,Java,Col.Official,0.12,0.1167,0.1089,0.2506
PLAN-DTML+AKR,official,Java,Col.Official,0.34,0.29,0.2844,0.5311
LAMIC+AKR,official,Java,Col.Official,0.4667,0.47,0.44,0.6901
GMR+AKR,jenkov,Java,Col.Jenkov,0.2667,0.2633,0.2667,0.4893
FITSEA+AKR,jenkov,Java,Col.Jenkov,0.3667,0.34,0.2956,0.4945
FRAPT+AKR,jenkov,Java,Col.Jenkov,0.1933,0.15,0.1422,0.3617
PLAN-DTML+AKR,jenkov,Java,Col.Jenkov,0.78,0.6767,0.6311,0.852
LAMIC+AKR,jenkov,Java,Col.Jenkov,0.5867,0.5867,0.5511,0.7345
GMR+AKR,smack,Java,Smack,0.12,0.09,0.0622,0.2171
FITSEA+AKR,smack,Java,Smack,0.1133,0.1167,0.0956,0.2624
FRAPT+AKR,smack,Java,Smack,0.14,0.0967,0.1133,0.2602
PLAN-DTML+AKR,smack,Java,Smack,0.12,0.09,0.0889,0.314
LAMIC+AKR,smack,Java,Smack,0.1667,0.1633,0.1422,0.3402
GMR+AKR,graphics,Android,Graphics,0.12,0.09,0.0933,0.2745
FITSEA+AKR,graphics,Android,Graphics,0.1667,0.1467,0.1267,0.3671
FRAPT+AKR,graphics,Android,Graphics,0.1067,0.0733,0.0689,0.2287
PLAN-DTML+AKR,graphics,Android,Graphics,0.5467,0.5367,0.5156,0.6626
LAMIC+AKR,graphics,Android,Graphics,0.5533,0.5133,0.4889,0.6734
GMR+AKR,resources,Android,Resources,0.0933,0.0733,0.06,0.2114
FITSEA+AKR,resources,Android,Resources,0.16,0.13,0.12,0.2597
FRAPT+AKR,resources,Android,Resources,0.0733,0.06,0.0556,0.1578
PLAN-DTML+AKR,resources,Android,Resources,0.2933,0.26,0.2467,0.4811
LAMIC+AKR,resources,Android,Resources,0.3133,0.29,0.2911,0.4056
GMR+AKR,text,Android,Text,0.34,0.2967,0.2756,0.4969
FITSEA+AKR,text,Android,Text,0.3867,0.3433,0.3267,0.5903
FRAPT+AKR,text,Android,Text,0.2333,0.1867,0.1933,0.3697
PLAN-DTML+AKR,text,Android,Text,0.5,0.4067,0.36,0.7371
LAMIC+AKR,text,Android,Text,0.3933,0.3367,0.2978,0.645
GMR+AKR,data,Android,Data,0.1333,0.0933,0.0822,0.3111
FITSEA+AKR,data,Android,Data,0.1933,0.17,0.16,0.3288
FRAPT+AKR,data,Android,Data,0.1,0.0833,0.0822,0.2936
PLAN-DTML+AKR,data,Android,Data,0.62,0.4933,0.4,0.8365
LAMIC+AKR,data,Android,Data,0.6067,0.51,0.4311,0.7332
